Date,INTC,MSFT,IBM,BHP,TM,AAPL,AMZN,BA,QCOM,KO,GOOG,SNE,PTR
2018-12-31,46.93000030517578,101.56999969482422,113.66999816894531,48.290000915527344,116.08000183105469,157.74000549316406,1501.969970703125,322.5,56.90999984741211,47.349998474121094,1035.6099853515625,48.279998779296875,61.54999923706055
2019-01-02,47.08000183105469,101.12000274658203,115.20999908447266,47.86000061035156,116.27999877929688,157.9199981689453,1539.1300048828125,323.80999755859375,57.400001525878906,46.93000030517578,1045.8499755859375,48.720001220703125,60.90999984741211
2019-01-03,44.4900016784668,97.4000015258789,112.91000366210938,46.38999938964844,114.6500015258789,142.19000244140625,1500.280029296875,310.8999938964844,55.70000076293945,46.63999938964844,1016.0599975585938,47.02000045776367,61.150001525878906
2019-01-04,47.220001220703125,101.93000030517578,117.31999969482422,49.220001220703125,119.7300033569336,148.25999450683594,1575.3900146484375,327.0799865722656,56.599998474121094,47.56999969482422,1070.7099609375,49.209999084472656,62.810001373291016
2019-01-07,47.439998626708984,102.05999755859375,118.1500015258789,49.47999954223633,121.27999877929688,147.92999267578125,1629.510009765625,328.1099853515625,56.439998626708984,46.95000076293945,1068.3900146484375,49.720001220703125,62.54999923706055
2019-01-08,47.7400016784668,102.80000305175781,119.83000183105469,49.33000183105469,122.30999755859375,150.75,1656.5799560546875,340.5299987792969,55.95000076293945,47.47999954223633,1076.280029296875,49.88999938964844,63.88999938964844
2019-01-09,48.0099983215332,104.2699966430664,120.69000244140625,49.599998474121094,122.91999816894531,153.30999755859375,1659.4200439453125,343.8299865722656,56.61000061035156,46.56999969482422,1074.6600341796875,49.93000030517578,65.44999694824219
2019-01-10,48.560001373291016,103.5999984741211,121.79000091552734,47.540000915527344,124.48999786376953,153.8000030517578,1656.219970703125,352.6099853515625,56.79999923706055,47.06999969482422,1070.3299560546875,49.099998474121094,64.86000061035156
2019-01-11,48.93000030517578,102.80000305175781,121.45999908447266,47.20000076293945,125.06999969482422,152.2899932861328,1640.56005859375,352.8999938964844,57.5,47.34000015258789,1057.18994140625,48.97999954223633,63.470001220703125
2019-01-14,48.349998474121094,102.05000305175781,120.38999938964844,47.13999938964844,125.38999938964844,150.0,1617.2099609375,350.3599853515625,57.29999923706055,47.150001525878906,1044.68994140625,48.41999816894531,62.45000076293945
2019-01-15,48.599998474121094,105.01000213623047,121.7300033569336,47.529998779296875,126.27999877929688,153.07000732421875,1674.56005859375,352.239990234375,55.72999954223633,47.56999969482422,1077.1500244140625,49.84000015258789,63.45000076293945
2019-01-16,48.130001068115234,105.37999725341797,121.62000274658203,47.34000015258789,125.66000366210938,154.94000244140625,1683.780029296875,352.05999755859375,55.27000045776367,46.91999816894531,1080.969970703125,49.61000061035156,63.72999954223633
2019-01-17,48.470001220703125,106.12000274658203,122.19000244140625,47.849998474121094,124.91999816894531,155.86000061035156,1693.219970703125,359.0899963378906,54.77000045776367,47.060001373291016,1089.9000244140625,49.5099983215332,63.959999084472656
2019-01-18,49.189998626708984,107.70999908447266,123.81999969482422,48.040000915527344,125.3499984741211,156.82000732421875,1696.199951171875,364.7300109863281,55.27000045776367,47.61000061035156,1098.260009765625,50.18000030517578,64.93000030517578
2019-01-22,48.27000045776367,105.68000030517578,122.5199966430664,46.369998931884766,123.5999984741211,153.3000030517578,1632.1700439453125,357.8999938964844,54.290000915527344,47.720001220703125,1070.52001953125,48.470001220703125,61.83000183105469
2019-01-23,47.939998626708984,106.70999908447266,132.88999938964844,46.529998779296875,122.47000122070312,153.9199981689453,1640.02001953125,358.6099853515625,51.77000045776367,48.27000045776367,1075.5699462890625,48.459999084472656,61.939998626708984
2019-01-24,49.7599983215332,106.19999694824219,132.52999877929688,46.619998931884766,122.83000183105469,152.6999969482422,1654.9300537109375,358.2699890136719,50.810001373291016,47.689998626708984,1073.9000244140625,48.369998931884766,63.220001220703125
2019-01-25,47.040000915527344,107.16999816894531,133.97000122070312,48.209999084472656,123.72000122070312,157.75999450683594,1670.5699462890625,364.20001220703125,51.29999923706055,47.369998931884766,1090.989990234375,48.7599983215332,64.06999969482422
2019-01-28,46.709999084472656,105.08000183105469,134.27000427246094,48.209999084472656,122.4800033569336,156.3000030517578,1637.8900146484375,362.9700012207031,50.63999938964844,47.16999816894531,1070.0799560546875,48.83000183105469,63.20000076293945
2019-01-29,46.540000915527344,102.94000244140625,134.3300018310547,49.11000061035156,122.2699966430664,154.67999267578125,1593.8800048828125,364.9100036621094,49.400001525878906,47.400001525878906,1060.6199951171875,48.779998779296875,63.56999969482422
2019-01-30,47.540000915527344,106.37999725341797,134.3800048828125,50.72999954223633,123.04000091552734,165.25,1670.4300537109375,387.7200012207031,50.16999816894531,47.86000061035156,1089.06005859375,49.20000076293945,64.27999877929688
2019-01-31,47.119998931884766,104.43000030517578,134.4199981689453,51.189998626708984,123.16999816894531,166.44000244140625,1718.72998046875,385.6199951171875,49.52000045776367,48.130001068115234,1116.3699951171875,50.119998931884766,64.2699966430664
2019-02-01,48.72999954223633,102.77999877929688,134.10000610351562,51.09000015258789,122.0,166.52000427246094,1626.22998046875,387.42999267578125,49.61000061035156,48.70000076293945,1110.75,46.150001525878906,64.62999725341797
2019-02-04,49.220001220703125,105.73999786376953,135.19000244140625,51.119998931884766,122.9000015258789,171.25,1633.31005859375,397.0,49.689998626708984,49.25,1132.800048828125,46.290000915527344,64.37000274658203
